0: URSA_-135_0.25
1: URSA_-135_0.5
2: URSA_-135_0.75
3: URSA_-135_1
4: URSA_-90_0.25
5: URSA_-90_0.5
6: URSA_-90_0.75
7: URSA_-90_1
8: URSA_-45_0.25
9: URSA_-45_0.5
10: URSA_-45_0.75
11: URSA_-45_1
12: URSA_0_0.25
13: URSA_0_0.5
14: URSA_0_0.75
15: URSA_0_1
16: URSA_45_0.25
17: URSA_45_0.5
18: URSA_45_0.75
19: URSA_45_1
20: URSA_90_0.25
21: URSA_90_0.5
22: URSA_90_0.75
23: URSA_90_1
24: URSA_135_0.25
25: URSA_135_0.5
26: URSA_135_0.75
27: URSA_135_1
28: URSA_180_0.25
29: URSA_180_0.5
30: URSA_180_0.75
31: URSA_180_1
32: ORION_-135_0.25
33: ORION_-135_0.5
34: ORION_-135_0.75
35: ORION_-135_1
36: ORION_-90_0.25
37: ORION_-90_0.5
38: ORION_-90_0.75
39: ORION_-90_1
40: ORION_-45_0.25
41: ORION_-45_0.5
42: ORION_-45_0.75
43: ORION_-45_1
44: ORION_0_0.25
45: ORION_0_0.5
46: ORION_0_0.75
47: ORION_0_1
48: ORION_45_0.25
49: ORION_45_0.5
50: ORION_45_0.75
51: ORION_45_1
52: ORION_90_0.25
53: ORION_90_0.5
54: ORION_90_0.75
55: ORION_90_1
56: ORION_135_0.25
57: ORION_135_0.5
58: ORION_135_0.75
59: ORION_135_1
60: ORION_180_0.25
61: ORION_180_0.5
62: ORION_180_0.75
63: ORION_180_1

23: URSA_90_1
24: URSA_135_0.25
25: URSA_135_0.5
26: URSA_135_0.75
27: URSA_135_1
28: URSA_180_0.25
29: URSA_180_0.5
30: URSA_180_0.75
31: URSA_180_1
32: ORION_-135_0.25
33: ORION_-135_0.5
34: ORION_-135_0.75
35: ORION_-135_1
36: ORION_-90_0.25
37: ORION_-90_0.5
38: ORION_-90_0.75
39: ORION_-90_1
40: ORION_-45_0.25
41: ORION_-45_0.5
42: ORION_-45_0.75
43: ORION_-45_1
44: ORION_0_0.25
45: ORION_0_0.5
46: ORION_0_0.75
47: ORION_0_1
48: ORION_45_0.25
49: ORION_45_0.5
50: ORION_45_0.75
51: ORION_45_1
52: ORION_90_0.25
53: ORION_90_0.5
54: ORION_90_0.75
55: ORION_90_1
56: ORION_135_0.25
57: ORION_135_0.5
58: ORION_135_0.75
59: ORION_135_1
60: ORION_180_0.25
61: ORION_180_0.5
62: ORION_180_0.75
63: ORION_180_1

